SONG_TITLE,ARTIST_NAME,SONG_ID,Concept_Love,Concept_Heartbreak,Concept_Partying,Concept_Drugs,Concept_Sex,Concept_Violence,Concept_Self-Empowerment,Concept_Success,Concept_Hope,Concept_Celebration,Concept_Coming_Of_Age,Concept_Loneliness,Concept_Struggle,Concept_Friendship,Concept_Traveling,ConceptUncertainty_Love,ConceptUncertainty_Heartbreak,ConceptUncertainty_Partying,ConceptUncertainty_Drugs,ConceptUncertainty_Sex,ConceptUncertainty_Violence,ConceptUncertainty_Self-Empowerment,ConceptUncertainty_Success,ConceptUncertainty_Hope,ConceptUncertainty_Celebration,ConceptUncertainty_Coming_Of_Age,ConceptUncertainty_Loneliness,ConceptUncertainty_Struggle,ConceptUncertainty_Friendship,ConceptUncertainty_Traveling
Back in Time,Pitbull,lyrics_full_02227,7.375321,6.166383,6.3690753,9.549335,7.153502,4.0829115,8.383854,5.7785964,7.616413,5.2067766,7.9619746,6.0055346,6.5717053,9.677878,6.489464,1.8871951,2.5101795,3.029567,0.27199182,2.328836,3.7213454,1.4328648,3.3166435,1.0650322,2.5668068,1.674868,3.204377,1.150114,0.1607468,2.1621387
Work Out,J. Cole,lyrics_full_02228,8.182533,1.2969995,0.42819452,0.033254102,1.118171,0.4016084,3.0673141,0.74989974,1.1761348,2.0169246,2.0531037,0.29954627,0.5916688,0.99625635,0.08412666,0.8988576,0.8732152,0.43505862,0.016106863,0.7192868,0.3693552,2.4844565,0.894967,0.532097,1.6952795,1.9661467,0.4236403,0.3455706,0.7776359,0.07973992
Rumour Has It,Adele,lyrics_full_02229,5.1433954,6.100215,0.17356908,0.05026428,0.16757289,0.33732873,0.20409366,0.05988749,2.7769551,0.08566852,4.7504067,5.7499957,1.5754209,0.35146278,1.4581996,2.2421684,2.7852356,0.13586465,0.042057626,0.17352,0.14991328,0.17773959,0.036881637,2.2458074,0.08652639,2.1678903,1.8062024,1.4317709,0.4282469,1.8492892
Let's Go,Calvin Harris,lyrics_full_02230,7.8051624,0.33033115,7.670338,9.206449,7.7097964,0.40667468,2.9471352,3.7512279,2.3208263,1.2684947,2.7417855,2.0763102,1.384181,3.5998366,2.5311422,1.6186666,0.37572202,0.8768299,0.85011333,2.2168422,0.43834344,0.95128053,1.6409729,0.9232881,0.7724117,1.2332722,2.4503102,0.7483866,1.5814328,2.6909518
Good Girl,Carrie Underwood,lyrics_full_02231,9.141491,9.887513,0.059320748,0.058367766,0.10787732,0.4537542,3.3199644,0.23127377,6.156434,0.25655255,2.7134786,6.594889,6.396207,0.9343555,4.091995,0.5012415,0.043720327,0.031722944,0.03290928,0.06520384,0.5533678,2.2948108,0.1871755,1.8732438,0.16721368,1.2661138,2.016219,1.1974849,0.6001782,1.7078485
Pontoon,Little Big Town,lyrics_full_02232,7.774784,7.855891,7.689662,9.78142,2.834283,4.8143,7.7458057,4.649106,5.9469414,3.2614422,8.521835,8.304359,9.676266,9.067278,4.4012923,0.89632666,1.5614004,2.1625326,0.1386157,2.3719754,1.6892445,1.1249433,3.2934947,1.3502455,2.7794461,1.2572258,1.5916982,0.15894425,0.98694324,1.4604248
Ho Hey,The Lumineers,lyrics_full_02233,3.2871153,6.4461975,0.99153435,0.89592844,5.4557734,0.5079897,0.47836685,1.4133527,1.7327057,0.109843135,2.0250397,5.078987,1.3774331,1.3971014,0.18288954,2.6131084,2.7560105,1.3355842,0.72117835,2.063096,0.53446496,0.48123237,1.4082394,0.83478,0.068015575,2.006078,1.8637817,1.0074685,0.83699167,0.1974827
Paradise,Coldplay,lyrics_full_02234,9.934988,9.78348,0.7783526,2.8393793,0.051047634,0.16237101,4.4527164,0.04654033,7.0407767,0.36482513,2.707953,8.313847,9.604715,3.0292635,0.5082033,0.049802966,0.08004925,0.5201172,1.4654,0.012611448,0.11728134,1.128993,0.02874868,1.8753185,0.44193333,1.7419724,0.93578744,0.14445524,2.3185184,0.17121738
Blown Away,Carrie Underwood,lyrics_full_02235,9.684486,9.917873,0.088268384,0.5526736,0.12794822,0.116668016,1.3380111,0.054287605,6.674203,0.044626415,2.8243928,9.669154,9.338003,2.4046586,0.45745283,0.17704488,0.038729705,0.0457644,0.45489904,0.09567518,0.060170643,0.3621379,0.039577767,1.5014739,0.041765824,0.81631315,0.17402238,0.3190658,2.0252538,0.31464204
Rolling in the Deep,Adele,lyrics_full_02236,8.409149,8.4097595,0.0805749,0.063808724,0.30170566,0.26446235,0.1800665,0.01952288,0.658395,0.026569832,9.099601,9.294623,0.69831204,0.082317725,0.16195415,0.27971274,0.6198288,0.037438996,0.03514402,0.117771,0.09915191,0.044966474,0.01102105,0.21588558,0.01858685,0.30478385,0.046036407,0.171709,0.025690816,0.04918884
Climax,Usher,lyrics_full_02237,4.523277,6.01396,2.5166395,3.3183956,2.0050197,0.16305661,2.4312344,1.1890496,6.492442,2.6336641,6.0161734,4.203557,1.8811344,3.4198258,2.6507354,1.9428062,1.2792135,1.4744526,2.7503297,1.6819404,0.17864186,1.6441447,1.7215627,1.4664816,2.232199,0.82312393,2.0751271,0.89543605,1.8649327,2.7160513
"Work Hard, Play Hard",Wiz Khalifa,lyrics_full_02238,5.519426,1.1677134,0.45684505,7.361745,2.452213,7.9719715,1.3446922,0.08392557,1.7144673,0.081811234,3.4457471,6.4592366,3.67998,1.9250166,0.30420434,1.6928139,0.56954205,0.36285263,1.4774146,2.4463036,1.2875836,0.87020785,0.06091664,1.2784648,0.12206852,2.6186895,1.6092986,2.6650872,1.4575416,0.28829825
